postContent,postId,description
"
					Anne, ,
I have a bicuspid aortic valve, bav, one son has it, and a grandson (age 2) also has it. Is this the condition you are referring to? If so, your mother actually made it many years without needing replacement, so it's possible that your son will too.,
Is it possible the paperwork you threw away was in regards to something else other than her valve? The valve company sends a card with the information on it and mentions that the card should be carried with the valve recipient at all times. Usually it's not something that one would think was unimportant and pitch. Her cardiologist should also have the valve information. Usually when they run an echocardiogram post-replacement, they want the valve information because the echo's software program needs the information to calculate results.
				",post_message_508070,shnur
"
					,Yes, they both have BAV stenosis.  it was her aortic valve that they replaced.  Dr. said it's best to wait until she has symptoms again.  she takes BP, chloresteral and thryroid meds.  Drs. gave her a 98% successful surgery rate last time and luckily, surgery went as it should have & no complications.  What is ""percutaneous replacement?""
				",post_message_508071,shnur
"
					,Find a discussion of percutaneous replacement here:,
				",post_message_508074,shnur
"
					I had my surgery just over 2 years ago and must say I would be devastated if I should now learn that, for whatever reason, the valve is up to no good. Tissue valves, both porcine and bovine, are supposed to last much, much longer in us older people, so the 2 years is just so upsetting. You should really try to obtain the particulars of the valve, make, model and serial number. If I were your mother I would definitely alert the manufacturers of the valve. In fact I would strongly insist that my cardiologist and surgeon also involve themselves. Johan
				",post_message_508159,shnur
"
					Anne - So sorry to hear this is happening.  Pig valve failure in 2 years at the age of your mother is not impossible, but extremely rare, as the others posted.  Based on your follow-up comments, I'm wondering if maybe it may be more directly related to the valve size issue, possibly something called ""patient prosthetic mismatch"".  All prosthetic valves reduce the effective opening area of a patient's native valve to a degree, depending on the type of valve used.  In most circumstances, this is not an issue, but for patients with an already small native valve, it can lead to problems.  Let me just say I'm only guessing here, I could be completely off track.  But a common factor for this ""mismatch"" issue are patients who have small aortic roots, seen most frequently in the elderly, particularly women.  The surgery to avoid this potential problem and allow a larger size valve to be implanted involves enlarging the aortic root , which is more complicated and higher risk, not often the first choice procedure.  Again, please forgive me for speculating, but just wanted to mention one possible scenario that could explain valve ""failure"" as it relates to size.,
The percutaneous replacement method mentioned, done through a catheter and not open-heart, was FDA approved only in the last month or so.  It's an amazing breakthrough, but unfortunately is only for patients who meet certain criteria.  Most critically, it is only for those who are deemed otherwise inoperable.,
Best wishes to you and your mother in trying to learn more about this situation, and finding the best possible plan moving forward.
				",post_message_508188,shnur
"
					Thanks again for everyone's well wishes and comments.  I appreciate the support!  The doctor left us that day, last Thurs., telling us he would look at echo himself and consult with collegues.  Now today is late Tues....no call back yet, as he said he would.  I will call him tomorrow.  She says she won't go through another OHS, feels she wouldn't survive it at her age.  I think we will try to go to another Dr. before Christmas, regardless of what this cardiologist says when he calls (if he calls.)
				",post_message_508235,shnur
"
					An update...Card. told her Nov 23 that he and his collegues could not figure out the conflicting info. on her echo and that  he is sending it to a specialist at Mayo, Rochester and he would call us when they know more.  That's been 2 weeks ago!  No news is good news??  Part of me thinks, good, can't be too bad then....but I know I better call and find out what's going on.  In the meantime, she will see another Dr. next week to get a referral to get another opinion.
				",post_message_509217,shnur
"
					Hi Anne,,
I like the premise of no news being good news. To put my mind at ease, I would be putting in a call to the office to confirm this. Glad you are getting another referral. ,
Other than an echo, has she had a TEE or angiogram to confirm the diagnosis? I would want another type of test to confirm the echo (which isn't always reliable). ,
All the best,
				",post_message_509218,shnur
"
					Ditto to ottagal.  I'd get that call placed as soon as possible; this can be a difficult time of year to get things done.  And more expert opinions probably can't hurt.  Occasionally a member here reports a frightening echo report which later gets clarified as a harmless ""shadow"" or something.  I hope you and your mother get much better news.  Best wishes ",post_message_509225,shnur
"
					Ann, I am truly sorry your mother has to go through this!    My first thought would be that there was something wrong with the valve itself, or maybe a mis-match??   Tissue valves ordinarily last much long, especially in the elderly.
				",post_message_509327,shnur
"
					Sorry to hear your mother's predicament. I hope the consult with another doctor will help clarify the situation.,
Just to echo what others have said, me stepson had an echo that came back with rather frightening results about 3 years ago. Then he had a catheter procedure done and the results came back in the ""normal"" range. Getting a more specific and predictable test done is definitely an option. I'm surprised that the doctors haven't discussed that with you and her.
				",post_message_509381,shnur
"
					Good luck, keep us posted, and ditto to what everybody else has said.
				",post_message_509382,shnur
"
					Did she have a mosaic valve by any chance? Lots of early failures (incluing 4 years for me) from what people have said on this site. My surgeon said it was something to do with what it was coated in. However, there are many people with this valve who have no problems.,
Other issues for early failure are kidney problems and potentially high blood pressure. ,
I didn't think they could do catheter ops with porcine valves but I could be wrong. It could be done minimal invasive if there isn't too much scar tissue.,
If she does have the op again it may be worth getting a mechanical valve. Although rare at an older age it would be a risk to get another tissue valve if it were to fail again (unless there is an obvious cause),
Just go let you know that reops are not generally more risky than first ops although I know your mums age is also a risk factor for a 2nd reop. This is definitely something that should be sorted out ASAP. The fitter a person is that goes into surgery the better the outcome, no matter what age. ,
Good luck.
				",post_message_509532,shnur
"
					It sounds like they're concerned that there's a patient-prosthesis mismatch, which is when they put in the wrong size valve (usually too small, although too large can cause just as much trouble).  Other than that, it would have to be an actual failure of the valve structure.  She didn't calcify it in two years.  Too small, it causes instant stenosis.  Too large, the leaflets of the valve rub and get caught and damaged by the surrounding structure. ,
The thing I'm wondering about is why they haven't redone the echocardiogram with a different tech and different machine (unless they have and I missed it).  Conflicting results and no symptoms should be waving red flags.,
Percutaneous replacement is so much less demanding than the full surgery.  If I were her, I would want to go with that.  As far as I'm aware, all of the percutaneously-replaced valves are xenografts (biological valves).  In this situation (depending on what that turns out to be), the only good thing about the current valve being biological is that it allows replacement with a percutaneous valve.  If it were a mechanical valve, it would require the reoperation.,
Best wishes,
				",post_message_509546,shnur
"
					I have a mosaic porcine heart valve. My surgery will be 4 years old in January. After 6 mts my valve was failing. I saw another surgeon in Houston and he agreed that it was failing but thought I would get another 3 years out of it and would be replaced with a mechanical valve. I had an echo done two weeks ago and there is no further change in the valve. It's the same today as it was six months after I had surgery. No one could tell me why, just one of those things however when it's you it's not just one of those things. I am 70 now and certainly am not looking forward to another surgery but maybe I'll continue to beat the odds and I do  hope your Mother does as well. As everyone else said follow up, get another opinion.
				",post_message_509623,shnur
"
					I'm sorry to hear about your mom, Hopefully they can help her without needing surgery. FWIW I wouldn't get my hopes too high she would be a candidate for Percutaneous replacement (TAVI) IF the problem is her current valve is too small. Since they place the valve inside the current valve the TAVI valve is slightly smaller than the valve it is placed in side, so it sounds like she would need a larger valve then they put in her last time. Also they dont make TAVI valves that fit inside the small Aortic valves yet.. ,
I definately would ask about it, incase it is an option or there is another reason it needs replaced beside they used too small a valve the first surgery.
				",post_message_509627,shnur
"
					Wow...I had no idea so many of you responded since the last time I updated this post!  THANK YOU!  It's very comforting....,
I think the day after my last post, she got the call.  I also called the cardio. and had him repeat to me.  It was a patient mis-match that caused this.  Her ""gradient"" level went form 16 to 28 to 40 to 44 (every 6 months) since the surgery 2 years ago...he says the ""good news"" is that the 40 to 44 isn't too much change over the last 6 months and hopefully it will continue to not increase much.  We went to another clinic last week, that Dr. (family physician) look at the last echo results and report and was equally surprised by it.  He apologized to her for this on ""behalf of all physicians"" for this mistake.  She will have another echo at this new clinic in Jan and then see a new cardio. for another opinion.  The new family physician agreed to postpone another surgery for as long as possible, but she refuses to have another OH surgery anyway.  no one has suggested any other type of test as of yet. ,
On another note...my 16 yr. old had a gradient of 30 a year ago...he will see cardio. in Jan. also....just alot to deal with at this time of year.
				",post_message_509700,shnur
"
					So sorry to hear about this, can't imagine what your mother, yourself and family are going through.,
I do have a question and if you don't feel like answering no hard feelings, But was this the Mayo Clinic in Rochester? and if so what was the surgeons name?
				",post_message_510504,shnur
"
					Mom had her 2nd opionion.  He says she's at a gradiant of 44. He's confused by the report also...he has ordered the actual video of the last echo to review and compare to the next echo. She will have another echo in March (that will be 6 mo. since the last one)  Pray for her.  Had to place Dad in a home recently and his health is failing on top of all this.  very stressful time.  My son had his annual checkup and was told his is at gradiant of 40.  I don't understand these gradiant numbers....we were told 44 is severe, yet my son went from a 30 to 40 in one year & won't need surgery for hopefully 10 years yet (we were told).  How bad does your number need to be to have surgery?  or do they just go by if you have symptoms?
				",post_message_513572,shnur
"
					Usually they go by a combination of both. If the numbers are bad enough with no symptoms they may recommend surgery with no symptoms. If the numbers aren't bad but symptoms say otherwise they will do surgery.
				",post_message_513587,shnur
"
					Anyone else having problems with their teeth since you went on coumadin? My dentist told me that it causes a condition called dry mouth and since I have been on it they can't keep up with the cavities. Now we are down to pulling them and I am headed for false teeth. All the cavities are taking place either at the gum line or under it.
				",post_message_328423,shnur
"
					I'm in the process of getting dentures now, but it's not because of Coumadin. My teeth have been bad since birth. I can't say that I have heard of any such thing, so it'll be interesting to see if others have.
				",post_message_328424,shnur
"
					,
				",post_message_328427,shnur
"
					I'm fairly certain your dentist is propagating myth with imaginary diagnosis's for phenomena that he can't explain. Here is all of the adverse reactions and I don't see dry mouth anywhere.,
ADVERSE REACTIONS,
Potential adverse reactions to COUMADIN may include:,
• Fatal or nonfatal hemorrhage from any tissue or organ. This is a consequence of the anticoagulant effect. The,
signs, symptoms, and severity will vary according to the location and degree or extent of the bleeding.,
Hemorrhagic complications may present as paralysis; paresthesia; headache, chest, abdomen, joint, muscle or,
other pain; dizziness; shortness of breath, difficult breathing or swallowing; unexplained swelling; weakness;,
hypotension; or unexplained shock. Therefore, the possibility of hemorrhage should be considered in evaluating,
the condition of any anticoagulated patient with complaints which do not indicate an obvious diagnosis. Bleeding,
during anticoagulant therapy does not always correlate with PT/INR. (See OVERDOSAGE: Treatment.),
• Bleeding which occurs when the PT/INR is within the therapeutic range warrants diagnostic investigation since,
it may unmask a previously unsuspected lesion, e.g., tumor, ulcer, etc.,
• Necrosis of skin and other tissues. (See WARNINGS.),
• Adverse reactions reported infrequently include: hypersensitivity/allergic reactions, including anaphylactic reactions,,
systemic cholesterol microembolization, purple toes syndrome, hepatitis, cholestatic hepatic injury, jaundice,,
elevated liver enzymes, hypotension, vasculitis, edema, anemia, pallor, fever, rash, dermatitis, including bullous,
eruptions, urticaria, angina syndrome, chest pain, abdominal pain including cramping, flatulence/bloating, fatigue,,
lethargy, malaise, asthenia, nausea, vomiting, diarrhea, pain, headache, dizziness, loss of consciousness, syncope,,
coma, taste perversion, pruritus, alopecia, cold intolerance, and paresthesia including feeling cold and chills.,
Rare events of tracheal or tracheobronchial calcification have been reported in association with long-term warfarin,
therapy. The clinical significance of this event is unknown.,
Priapism has been associated with anticoagulant administration; however, a causal relationship has not been established.
				",post_message_328431,shnur
"
					I haven't had any issues with losing teeth since I've been on Coumadin.   I have been on Coumadin for 7 1/2 years and all of my dental check ups are good.  I always ask how my gums are doing, and the dentist tells me they are fine.
				",post_message_328432,shnur
"
					I'm at 3 yrs on Coumadin, dental visits every 6 mths all my life....some ppl are just more susceptible to these dental issues.?
				",post_message_328433,shnur
"
					Coumadin/Warfarin does , cause dry mouth, however many, many medications do.  Dry mouth is the death of teeth.  Saliva is the 1st line of defense against cavities.  We have so many elderly in our office with rampant cavities because their medications cause dry mouth, and to combat that, they suck on hard candy, mints or cough drops.,
I would suggest that you look at your entire list of medications, read the informational sheets that come with them from the pharmacy, so you know which meds might be causing this.  Even so, you'll probably not be able to stop the medications.  ,
Try to find sugarless gum and candies that contain Xylitol.  Xylitol is a sugar alcohol made from beech bark, birch bark, corn cobs and other food items.  It must be counted in a diabetics diet.  If you eat too much it can cause intestinal upset like mannitol and sorbitol.  But your body does adjust.  The bacteria that cause cavities eat the xylitol and die instead of creating acid that eats at the teeth. It is a great defense.,
Hope this helps.
				",post_message_328441,shnur
"
					Years ago I had dental problems that were due to poor dental hygiene on my part.  For the past twenty+ years I have seen my dentist on a regular basis and have had few problems with my teeth.  I've never had a dentist mention a condition called ""dry mouth"".  I've been on coumadin/warfarin 41 years. Maybe our resident expert, Allodwick, can shed some light on this ?
				",post_message_328443,shnur
"
					I do know of someone who has ""dry mouth"" but in him it is caused by a salivary gland issue.
				",post_message_328453,shnur
"
					,You're right Bina, salivary issues are a cause.  Anyone who has had radiation treatment to the neck probably has salivary and dry mouth issues as well as those who are on bladder control medications or any kind of stimulant.,
This is from the Mayo Clinic:  ,
""Hundreds of medications, including some over-the-counter drugs, produce dry mouth as a side effect. Among the more likely types to cause problems are some of the drugs used to treat depression and anxiety, antihistamines, high blood pressure medications, anti-diarrheals, muscle relaxants, drugs for urinary incontinence, and Parkinson's disease medications.""
				",post_message_328534,shnur
"
					,Dry mouth is certainly a contributor to tooth decay,,
BUT, if I were your Dentist I would want to know if you:,
Brush and Floss Every Day (better yet, after every meal),
Rinse with Water,,
Drink Sugary Drinks (Sodas, Coffee+Sugar, Tea+Sugar, Fruit Juices, etc.),
Rinse with Water,,
Snack on Candy or Carbohydrates
				",post_message_328542,shnur
"
					There are a variety of medications that cause dry mouth, and some, like antihistamines, are available over-the-counter. There are also some medical conditions outside of salivary gland problems(like stones, etc) that cause it, like Sjogren's Syndrome, which is an autoimmune phenomenon. It is also frequently associated with rheumatoid arthritis, lupus, Crohn's disease, diabetes, and even some thyroid problems. Sometimes it is the first symptom of one of these problems, so if you are having a lot of joint pain, etc, ask your doc to test you. If you are taking diuretics, or have to limit your fluid intake, it can be extremely hard to treat. There are a couple of medications-Salagen and Evozac-that can help stimulate saliva production. Sugar-free sour candies can stimulate saliva production as well.,
Nice night in Idaho,,
-Laura
				",post_message_328605,shnur
"
					I have a question about teeth. I go get my cleaning every 4 months. I have bone loss and in order to prevent it from going any further, the dentist prescribed periostat to take twice a day for three months. I understand it wrecks havoc with my coumandin levels and I have to go more often for my INR's. I was wondering if anyone had this same experience.,
Consuela,
MVP St. Jude 2005
				",post_message_330487,shnur
"
					,WARFARIN SODIUM (in Coumadin Tablets) may interact with DOXYCYCLINE (in Periostat Tablets),
Blood clotting normally occurs in response to a cut or other types of injuries to protect the body from excessive bleeding. Many substances are involved in the clotting process including various chemicals that are produced in the body like vitamin K. Vitamin K is made by bacteria that are normally present in the intestinal tract and may also be supplied in the diet by eating green leafy vegetables, liver, and egg yolks. Doxycycline may kill the bacteria responsible for producing vitamin K. Warfarin is generally used to prevent your blood from ""coagulating"" or forming blood clots. When doxycycline and warfarin are used at the same time, your blood may be much less likely to clot and this may increase the risk of excessive bleeding. If these drugs are used together, your doctor may want to monitor you closely for signs of bleeding (bruising, nose bleeds, ect). Blood tests can be used to make sure that you are getting the right amount of warfarin. If you are experiencing problems, it may be necessary to adjust the dose of warfarin. Ask your healthcare provider about these drugs and this potential interaction as soon as possible.,
This interaction is poorly documented and is considered major in severity.,
Last Updated: June 2008,
Like everything else, it will have to be adjusted for.
				",post_message_330514,shnur
"
					Thanks for the info on sugarless gum Kristy.  I am semi-addicted to it...lol...,
I have suffered badly from dry-mouth ever since my surgery.  Its much more noticeable at night and I drink a large bottle of water overnight everynight.  I will keep up with the sugarless gum since it helps with the nasties.  At least now I have a really good legitimite ""medical/dental"" reason for the gum.,
I had always blamed my 5 days on the ventilator for my dry mouth , thinking they must have upset something there.  I always have this weird taste in my mouth too ever since surgery. I have never seen anything relating it to the warfarin.,
My teeth have always been delicate so I cant blame that on the warfarin.
				",post_message_330597,shnur
"
					,Consuela,,
I have taken doxycycline to combat perio disease.  It did raise my INR a bit, but nothing to cause a change in my warfarin dose.  The thing to remember is test about a week after starting a new medication, or stopping one you've been taking for a while.  And adjust your warfarin dose accordingly.
				",post_message_330680,shnur
"
					To Ross & Kristy W.,
Thank you both for the information and the words of advice.,
Consuela
				",post_message_330746,shnur
"
					I recommend that you start chewing gum as it enhances the level of saliva. There are also some special types of gums for exactly this purpose.,
_______________________,
Steve Works,
				",post_message_532627,shnur
"
					Wow.  4 1/2 years for another response.
				",post_message_532649,shnur
"
					,Some folks are slow typers....",post_message_532651,shnur
